username,car_id,price,vin,buyer_first_name,buyer_last_name,buyer_id,division_id
lpailin0,907-dd-22,"$9,666.70 ",3D73Y4EL2BG728925,Lindsay,Pailin,680-09-5514,4
amacari1,769-hd-68,"$29,580.36 ",JA32U2FU2DU146156,Astrix,Macari,444-97-8707,4
mpenwarden2,521-ms-64,"$14,172.83 ",JN8AZ2NC9E9574760,Marlowe,Penwarden,196-85-4829,4
whuddart3,366-ds-60,"$21,058.35 ",JN8AZ2NC8E9693559,Wandis,Huddart,783-56-7048,4
rboltwood4,904-ve-89,"$7,117.63 ",1FMEU5DE4AU485341,Ryan,Boltwood,651-59-9362,4
rtrapp5,691-xh-58,"$9,775.42 ",5N1AZ2MG6FN035047,Roddie,Trapp,328-64-2942,4
hdrewery6,128-vc-46,"$16,305.47 ",WBXPA734X5W388834,Hunfredo,Drewery,128-97-0936,4
wbeeze7,312-bl-07,"$18,597.59 ",1GYS3JEF7CR161216,Wynny,Beeze,718-49-5616,4
lalfonsini8,570-gv-59,"$28,172.75 ",2T2BK1BA5FC034766,Lotty,Alfonsini,543-47-5672,4
mtanzig9,694-jp-48,"$26,332.09 ",WBA3A5C51FP566213,Mendel,Tanzig,314-61-2433,4
mgorettia,834-tf-34,"$29,659.69 ",WDDUG7JBXEA298229,Mirella,Goretti,481-98-2647,4
flowdyaneb,188-he-03,"$18,020.82 ",2T1BURHE5FC308698,Fredia,Lowdyane,711-58-5569,-5
qangelic,663-mw-68,"$7,740.67 ",WUAGL78E26A854038,Quintus,Angeli,154-05-9869,4
dclaeskensd,355-jf-32,"$26,316.09 ",WDBSK7BA6CF019444,Darb,Claeskens,103-36-8366,4
cattacke,702-gn-24,"$23,097.50 ",JN1CV6AP6BM553215,Catarina,Attack,755-11-3857,4
ntuffellf,642-kr-04,"$14,025.56 ",WAUVFAFR2BA167728,Nicolina,Tuffell,148-14-2986,4
ubwyeg,664-jo-00,"$24,022.69 ",WP1AA2A24DL348736,Ulla,Bwye,524-33-2790,4
hsnookh,960-em-53,"$17,203.43 ",5N1AL0MM4EC409659,Hardy,Snook,726-59-0024,4
sfreelandi,261-du-12,"$24,644.57 ",1FADP5CU3EL167974,Shela,Freeland,305-81-5999,4
lrobardj,517-cu-92,"$23,224.30 ",WBA3G7C55FK475890,Lonee,Robard,553-44-7074,4
