"username","car_id","price","vin","buyer_first_name","buyer_last_name","buyer_id","branch_id"
"lfullard0","901-mm-29","$9,666.70","3D73Y4EL","Lindsay","","","1"
"etregian1","998-wb-31","$29,580.36","JA32U2FU2DU146156","Astrix","","","2"
"egraeser2","036-bj-19","$14,172.83","JN8AZ2NC9E9574760","Marlowe","","","3"
"rgrimmer3","965-to-18","$21,058.35","JN8AZ2NC8E9693559","Wandis","","783-56-7048","4"
"cfinch4","397-wa-89","$7,117.63","1FMEU5DE4AU485341","Ryan","","651-59-9362","5"
"rkivlehan5","567-du-93","$9,775.42","5N1AZ2MG6FN035047","Roddie","","328-64-2942","6"
"ijannings6","906-ck-23","$16,305.47","WBXPA734X5W388834","Hunfredo","","128-97-0936","7"
"emurtimer7","090-nw-76","$18,597.59","1GYS3JEF7CR161216","Wynny","","718-49-5616","8"
"hpittman8","525-jl-03","$28,172.75","2T2BK1BA5","Lotty","","543-47-5672","9"
"wfoxcroft9","629-qp-07","$26,332.09","WBA3A5","Mendel","","314-61-2433","10"
"dmowsleya","363-qb-15","$29,659.69","WDDUG7JBXEA298229","Mirella","","481-98-2647","11"
"ibillingtonb","133-uu-88","$18,020.82","2T1BURHE5FC308698","Fredia","","711-58-5569","12"
"hkovacsc","944-er-52","$7,740.67","WUAGL78E26A854038","Quintus","","","13"
"wsentanced","765-ut-36","$26,316.09","WDBSK7BA6C","Darb","Claeskens","","14"
"lblewette","099-fq-73","$23,097.50","JN1CV6AP6BM553215","Catarina","Attack","","15"
"switnallf","824-ps-33","$14,025.56","WAUVFAFR2BA","Nicolina","Tuffell","148-14-2986","16"
"ctrevethang","926-hr-35","$24,022.69","WP1AA2A24D","Ulla","Bwye","","17"
"bsherratth","855-bd-51","$17,203.43","5N1AL0MM4EC","Hardy","Snook","726-59-0024","18"
"nbubbi","045-ph-09","$24,644.57","1FADP5CU3EL167974","Shela","Freeland","305-81-5999","19"
"acradduckj","511-ex-46","$23,224.30","WBA3G7C55FK475890","Lonee","Robard","553-44-7074","20"
"oshovlink","777-lf-61","$29,747.86","4JGDF2E","Myrah","Bauldry","215-74-4621","21"
"zlunckl","222-hc-25","$13,774.69","3C63D","Georg","Shoute","467-94-6061","22"
